CustomerID,First Name,Last Name,Customer Name,Phone,City,State,Phone Brand,Operating System,,
1,Rati,Srivastava,Rati Srivastava,3756231353,jaipur,Rajasthan,OnePlus,iOS,,
2,Samaira,Bhalla,Samaira Bhalla,9.12E+11,Hyderabad,Telangana,Vivo,iOS,,462
3,Anika,Rattan,Anika Rattan,9.13E+11,chennai,Tamil Nadu,OnePlus,Android,,
4,Pari,Lalla,Pari Lalla,2799707731,ahmedabad,Gujarat,Vivo,iOS,,
5,Yashvi,Sandal,Yashvi Sandal,9.15E+11,Hyderabad,Telangana,Samsung,Android,,
6,Samaira,Bhalla,Samaira Bhalla,9.12E+11,Hyderabad,Telangana,Vivo,iOS,,
7,Trisha,Rastogi,Trisha Rastogi,9.12E+11,Mumbai,Maharashtra,Realme,Android,,
8,Ivan,Ghosh,Ivan Ghosh,5381296018,bangalore,Karnataka,OnePlus,Android,,
9,Yasmin,Krish,Yasmin Krish,9.16E+11,Pune,Maharashtra,OnePlus,Android,,
10,Kanav,Sundaram,Kanav Sundaram,2784005711,bangalore,Karnataka,Realme,iOS,,
11,Jayesh,Kara,Jayesh Kara,9.20E+11,Hyderabad,Telangana,Samsung,iOS,,
12,Adira,Bajwa,Adira Bajwa,9.11E+11,Mumbai,Maharashtra,Xiaomi,iOS,,
13,Shaan,Raval,Shaan Raval,9.10E+11,Bangalore,Karnataka,Vivo,Android,,
14,Amani,Sengupta,Amani Sengupta,9.14E+11,Hyderabad,Telangana,Realme,iOS,,
15,Purab,Walla,Purab Walla,8584235948,Ahmedabad,Gujarat,Realme,iOS,,
16,Madhav,Sawhney,Madhav Sawhney,9.11E+11,bangalore,Karnataka,OnePlus,Android,,
17,Advika,Krishna,Advika Krishna,9.13E+11,jaipur,Rajasthan,Vivo,iOS,,
18,Zaina,Uppal,Zaina Uppal,705192554,Kolkata,West Bengal,Realme,iOS,,
19,Jhanvi,Soman,Jhanvi Soman,230999916,delhi,Delhi,OnePlus,Android,,
20,Shaan,Raval,Shaan Raval,9.10E+11,Bangalore,Karnataka,Vivo,Android,,
21,Adira,Upadhyay,Adira Upadhyay,9846063570,bangalore,Karnataka,Samsung,iOS,,
22,Dharmajan,Shroff,Dharmajan Shroff,8309549999,Jaipur,Rajasthan,OnePlus,Android,,
23,Dhanush,Atwal,Dhanush Atwal,919306217,Hyderabad,Telangana,OnePlus,iOS,,
24,Samiha,Raju,Samiha Raju,9.18E+11,Mumbai,Maharashtra,Xiaomi,Android,,
25,Vedika,Sankaran,Vedika Sankaran,505040926,Surat,Gujarat,Samsung,iOS,,
26,Vritika,Baria,Vritika Baria,9.16E+11,hyderabad,Telangana,Samsung,iOS,,
27,Suhana,Baral,Suhana Baral,470772594,Kolkata,West Bengal,Realme,Android,,
28,Arhaan,Banik,Arhaan Banik,3157494404,delhi,Delhi,Samsung,iOS,,
29,Arnav,Jani,Arnav Jani,7019280347,Chennai,Tamil Nadu,Samsung,iOS,,
30,Mishti,Keer,Mishti Keer,9.19E+11,Chennai,Tamil Nadu,OnePlus,Android,,
31,Samar,Soni,Samar Soni,6491597909,Mumbai,Maharashtra,Xiaomi,Android,,
32,Yuvraj ,Raval,Yuvraj Raval,7466224730,Jaipur,Rajasthan,Apple,Android,,
33,Jiya,Borra,Jiya Borra,2625311097,Surat,Gujarat,Samsung,Android,,
34,Riya,Sunder,Riya Sunder,3683627068,Kolkata,West Bengal,Vivo,Android,,
35,Ira,Kapoor,Ira Kapoor,826772649,pune,Maharashtra,Apple,iOS,,
36,Samar,Apte,Samar Apte,9.11E+11,Pune,Maharashtra,Realme,Android,,
37,Taimur,Choudhary,Taimur Choudhary,5260976179,pune,Maharashtra,Vivo,Android,,
38,Siya,Borah,Siya Borah,1100884229,pune,Maharashtra,Xiaomi,Android,,
39,Kabir,Gera,Kabir Gera,6790386181,Surat,Gujarat,Apple,iOS,,
40,Trisha,Talwar,Trisha Talwar,9.11E+11,Delhi,Delhi,Samsung,Android,,
41,Raghav,Banerjee,Raghav Banerjee,9.18E+11,Mumbai,Maharashtra,Realme,Android,,
42,Onkar,Agate,Onkar Agate,1967484692,jaipur,Rajasthan,Realme,Android,,
43,Aarna,Barman,Aarna Barman,4644875653,Hyderabad,Telangana,Realme,iOS,,
44,Jayant,Gole,Jayant Gole,5140641217,surat,Gujarat,Realme,Android,,
45,Yakshit,Arya,Yakshit Arya,7418310715,bangalore,Karnataka,Vivo,iOS,,
46,Siya,Borah,Siya Borah,1100884229,pune,Maharashtra,Xiaomi,Android,,
47,Alisha,Ratta,Alisha Ratta,9.18E+11,Ahmedabad,Gujarat,Xiaomi,Android,,
48,Ivan,Atwal,Ivan Atwal,7450594309,surat,Gujarat,Samsung,Android,,
49,Shalv,Trivedi,Shalv Trivedi,5441595285,Pune,Maharashtra,Vivo,Android,,
50,Khushi,Ahluwalia,Khushi Ahluwalia,8447011346,Bangalore,Karnataka,Realme,Android,,
51,Shayak,Bhargava,Shayak Bhargava,9.17E+11,hyderabad,Telangana,OnePlus,Android,,
52,Zoya,Chauhan,Zoya Chauhan,2593240293,delhi,Delhi,Apple,iOS,,
53,Badal,Chakraborty,Badal Chakraborty,9160379603,Jaipur,Rajasthan,Apple,iOS,,
54,Diya,Bassi,Diya Bassi,3867244208,Jaipur,Rajasthan,Apple,Android,,
55,Kimaya,Tiwari,Kimaya Tiwari,2453492556,bangalore,Karnataka,Xiaomi,iOS,,
56,Rati,Lad,Rati Lad,9.16E+11,Pune,Maharashtra,Realme,Android,,
57,Samarth,Warrior,Samarth Warrior,9.14E+11,mumbai,Maharashtra,Xiaomi,Android,,
58,Hridaan,Lad,Hridaan Lad,8474600294,Chennai,Tamil Nadu,Samsung,iOS,,
59,Manjari,Sharma,Manjari Sharma,9249310037,jaipur,Rajasthan,Samsung,Android,,
60,Krish,Babu,Krish Babu,9196544518,Jaipur,Rajasthan,Vivo,iOS,,
61,Shalv,Gupta,Shalv Gupta,865658155,jaipur,Rajasthan,Vivo,Android,,
62,Kimaya,Tiwari,Kimaya Tiwari,2453492556,bangalore,Karnataka,Xiaomi,iOS,,
63,Rati,Lad,Rati Lad,9.16E+11,Pune,Maharashtra,Realme,Android,,
64,Chirag,Andra,Chirag Andra,5862988446,Mumbai,Maharashtra,Apple,Android,,
65,Urvi,Shanker,Urvi Shanker,9.19E+11,Delhi,Delhi,Apple,Android,,
66,Tejas,Shroff,Tejas Shroff,8990804888,pune,Maharashtra,Apple,Android,,
67,Krish,Walla,Krish Walla,2739914676,Hyderabad,Telangana,Apple,Android,,
68,Kartik,Sinha,Kartik Sinha,9.14E+11,chennai,Tamil Nadu,OnePlus,iOS,,
69,Vritika,Ramachandran,Vritika Ramachandran,9.15E+11,kolkata,West Bengal,Xiaomi,iOS,,
70,Aaryahi,Sahni,Aaryahi Sahni,4305027376,surat,Gujarat,Xiaomi,iOS,,
71,Kaira,Choudhury,Kaira Choudhury,9949134549,bangalore,Karnataka,Vivo,Android,,
72,Bhavin,Thakur,Bhavin Thakur,9.13E+11,Chennai,Tamil Nadu,OnePlus,iOS,,
73,Zeeshan,Wagle,Zeeshan Wagle,4480113761,ahmedabad,Gujarat,OnePlus,Android,,
74,Baiju,Sachdeva,Baiju Sachdeva,4749707472,delhi,Delhi,Samsung,iOS,,
75,Indrajit,Kapur,Indrajit Kapur,230040498,hyderabad,Telangana,Realme,iOS,,
76,Vardaniya,Chauhan,Vardaniya Chauhan,6633666312,Chennai,Tamil Nadu,OnePlus,Android,,
77,Siya,Kunda,Siya Kunda,965003471,delhi,Delhi,OnePlus,Android,,
78,Ranbir,Bhavsar,Ranbir Bhavsar,9.17E+11,delhi,Delhi,Samsung,Android,,
79,Tiya,Aurora,Tiya Aurora,2235678417,hyderabad,Telangana,OnePlus,Android,,
80,Shamik,Magar,Shamik Magar,247706285,Kolkata,West Bengal,Samsung,Android,,
81,Aayush,Verma,Aayush Verma,9.18E+11,surat,Gujarat,Realme,iOS,,
82,Divij,Chander,Divij Chander,4398165607,surat,Gujarat,Xiaomi,Android,,
83,Ishaan,Wagle,Ishaan Wagle,9.14E+11,jaipur,Rajasthan,Samsung,Android,,
84,Kabir,Garg,Kabir Garg,7456097650,Mumbai,Maharashtra,Vivo,iOS,,
85,Sumer,Krish,Sumer Krish,4988944955,pune,Maharashtra,Xiaomi,iOS,,
86,Piya,Dhillon,Piya Dhillon,9.18E+11,Jaipur,Rajasthan,Apple,Android,,
87,Eshani,Iyer,Eshani Iyer,3018205633,jaipur,Rajasthan,Apple,Android,,
88,Raghav,Varughese,Raghav Varughese,6799761518,bangalore,Karnataka,OnePlus,Android,,
89,Pari,Halder,Pari Halder,9.11E+11,Surat,Gujarat,Apple,Android,,
90,Dharmajan,Chawla,Dharmajan Chawla,7725720303,kolkata,West Bengal,OnePlus,Android,,
91,Zain,Buch,Zain Buch,2441509430,surat,Gujarat,Realme,iOS,,
92,Shanaya,Baral,Shanaya Baral,996396432,Bangalore,Karnataka,Realme,Android,,
93,Dhruv,Halder,Dhruv Halder,6555552235,kolkata,West Bengal,Apple,Android,,
94,Piya,Guha,Piya Guha,9.14E+11,Chennai,Tamil Nadu,Xiaomi,iOS,,
95,Ojas,Jha,Ojas Jha,9.11E+11,jaipur,Rajasthan,OnePlus,Android,,
